,firstactivity2houraftersignup,lastofferpage,sessioncount24,sessioncount2hr,firstsessionlength,secondsessionlength,createtreebeforesignup,searchvolumebeforesignup,contentviewimagebeforesignup,contentviewimagedbbeforesignup,contentviewtextbeforesignup,contentviewtextdbbeforesignup,contentviewhoverbeforesignup,contentviewhoverdbbeforesignup,contentviewhovernosubbeforesignup,contentviewhovernosubdbbeforesignup,grosstreecountatsignup,nettreecountatsignup,netnodescountatsignup,totalpendinghintscountatsignup,createtreein2hours,netnodesgrowthin2hours,personahintsgeneratedcount,personahintacteduponcount,personahintacceptedcount,acceptpersonahintsnodescount,objecthintsgeneratedcount,objecthintacteduponcount,objecthintacceptedcount,acceptobjecthintsnodescount,recordhintsgeneratedcount,recordhintacteduponcount,recordhintacceptedcount,acceptrecordhintsnodescount,acceptrecordhintsrecordcount,acceptrecordhintsdbidcount,searchcountin2hours,searchdbcountin2hours,contentviewcountin2hours,contentviewdbcountin2hours,contentimageviewcountin2hours,contentimageviewdbcountin2hours,familytreeviewin2hours,pedigreetreeviewin2hours,totaltreeviewin2hours,personoverviewin2hours,personoverviewtreesin2hours,personoverviewnodesin2hours,dbcitationcountin2hours,hintsdbcitationcountin2hours,searchdbcitationcountin2hours,dbcitationnodescountin2hours,dbcitationdatabasecountin2hours,createnodesfromhintsin2hours,createnodesfromsearchin2hours,createnodesfromotherin2hours,age,y
contentviewtextbeforesignup,-0.0032109776044638525,-0.0015927833056449446,0.0024410489508446646,-0.0001345265912272673,0.00544739799611623,0.0039107251993075,0.0,0.0,0.04374331655939586,0.007052826743369345,0.6242033415385047,0.1579461961830034,0.14653879398041597,0.08207751261872856,0.13539089118336992,0.0762083989822062,0.0009989970101320581,0.0009989970101320581,0.00010095794588286882,0.06091513655214382,0.0,-0.00012667523172984723,0.0006220622427671692,-0.0006598069811563148,-0.0012353770910159335,-0.00017684213984284236,0.002493155794427998,0.007783120093479716,0.005562461370494572,0.0019375138669586293,0.0005018758962306088,0.004624771282823877,0.004880900240844311,0.005148826502060798,0.004396610014395621,0.004271532810036011,0.012151951302858505,0.009415203426371513,0.0161720352676181,0.009230150825276699,0.002676099470991459,0.00840650158079124,0.008529079073415923,-0.00037744296266599577,0.002361273096009442,0.016058583675533634,0.008890731383825722,0.011463962448300138,-3.8974575930318854e-05,0.0014236036407241203,0.00652694752301783,-0.00041204027979438375,0.0029160813768611244,-0.0002540777550433539,0.015317515553420343,-0.0002796562635364881,-0.0002683904898869141,0.0
contentviewtextdbbeforesignup,-0.0010553899861487004,-0.000473674618561393,0.0016607419617696757,-4.7268794841901046e-05,0.0026890298360164534,0.0016357281420137412,0.0,0.0,0.021095227231585422,0.0042363054682834815,0.1579461961830034,0.15738199034187153,0.09355286414374363,0.08096225457337321,0.07416046967691697,0.042177739755697524,0.00015360810894716545,0.00015360810894716545,-3.78117936415372e-05,0.022582248193043972,0.0,-6.272687269613601e-05,0.001040248762783805,0.0001154440910128301,0.0004859081493334436,0.0007358245487501712,0.0018285495730646006,0.012342245021080115,0.006189308116050695,0.0018481157062166197,0.0013991373160509143,0.004166328522748745,0.004138566174515526,0.004817249332032765,0.003313977419625638,0.0034470968330472026,0.008487553204787352,0.005355580688191629,0.00953997654867078,0.005349867728061788,0.0020042461242730965,0.0038096461609725247,0.00421060488484366,0.00018372033849779868,0.0022671977700069847,0.00401177279781719,0.007266358422464739,0.004405236070838279,0.00034887595140405657,0.0014222426401617587,0.004588144377598237,0.00043762468325475286,0.0012744233890476997,0.00074723425784993,0.006648716913882896,-9.82632089816862e-05,-9.430473847768563e-05,0.0
contentviewhoverbeforesignup,-0.0016580192237740873,-0.0009499739712879455,0.0021819695617188257,-7.304724097403547e-05,0.004154473989245751,0.002010891471721934,0.0,0.0,0.04560850114326587,0.004230337059573052,0.14653879398041597,0.09355286414374363,0.6122521988560655,0.24303204469658815,0.21890939071872942,0.12350121802623731,-2.191110199677125e-05,-2.191110199677125e-05,-0.00010687207176989258,0.008443290351992417,0.0,-0.00014537480469709645,-0.00018887892608313036,-0.0008843521784279899,-0.00014085999665949762,0.000672823068829934,0.004733810000679364,0.0258748814100231,0.010140963055424335,0.003028614090926611,0.0006820924135730625,0.0035224927272204964,0.003200328346138498,0.004770661405907524,0.004244069631390419,0.004019503801733356,0.013895177856911752,0.00990114178741209,0.01595619693696508,0.009449201176206462,0.00842761784470472,0.004767842629070567,0.010411316323779738,-0.0004696395134832255,0.0061241331125831385,0.004631451263205289,0.0057373874003596075,0.004378943534437768,-0.0002729222459553433,0.0007619724128295702,0.0013091572729172483,-0.0002596988519336652,0.0010264621537667343,3.220985539478359e-05,0.002085767135035991,-0.00015185189995587604,-0.0001457346433225817,0.0
contentviewhoverdbbeforesignup,-0.0006716180392759171,-0.00039814608762511733,0.0018080699656134445,-3.061502113177981e-05,0.002554119580671058,0.00019367006071026362,0.0,0.0,0.023493836839502465,0.00615220715720929,0.08207751261872856,0.08096225457337321,0.24303204469658815,0.23135898849703285,0.1195049200086808,0.06609543382808077,-2.2320310972923173e-05,-2.2320310972923173e-05,-4.479143485782635e-05,0.0070703527266078444,0.0,-6.0928416439600946e-05,-0.000132394578074201,-0.0002763727667818585,0.00038014703326531244,0.000894842518261403,0.006107398774320678,0.028561932747658246,0.010971347054361695,0.001814198766557567,0.0011829079525707404,0.003681448308328387,0.0033279300702201155,0.005027383545006844,0.0030340735674649444,0.003130443018219702,0.007453895506629048,0.0057778477536589755,0.0073752794865990364,0.005401743685428095,0.0009267298698232458,0.003960813999104513,0.009892400287860752,-0.0007181647006304918,0.006169805599420145,0.004556942807225789,0.0028243458616070724,0.002980775694874774,-0.00018007061690317858,0.00024826433484675145,0.00026129442306756505,-0.0002002250186613919,-0.00018089615794090536,7.158946469944972e-05,0.0005605072404343248,-6.364304885522729e-05,-6.10792293515808e-05,0.0
contentviewhovernosubbeforesignup,-0.003633839815999088,-0.0018717250500267888,0.0024835352078866587,1.762718017620187e-05,0.0046680371492838,0.007310103991884091,0.0,0.0,0.0354750578554314,0.0010769144765437528,0.13539089118336992,0.07416046967691697,0.21890939071872942,0.1195049200086808,0.5214400000401651,0.3148058283193331,0.00010657756903135378,0.00010657756903135378,-0.00014807494531824796,0.060699630795892946,0.0,-0.0003080159684503625,0.0016816740079567706,0.0011453518531333614,0.0014404814231894372,0.0016411969522502955,0.0013494100742448398,0.015181911902552692,0.005011303056861179,0.0004997080220268196,0.0008354784787540408,0.003124008415849753,0.00339509585325061,0.0037142958026800347,0.0026939833278664185,0.002585611723803951,0.021440921865667026,0.017287920144490418,0.022665567414439883,0.01714965368779442,0.005234627504666144,0.010496198693989552,0.011263215970661307,0.0028474121315599033,0.007058897085888328,0.004985030170351463,0.009788540053105128,0.0050435360008776456,-0.00020506159366103744,0.0019283233674024162,0.005885316445238644,0.0003600252994505676,0.0010960244866053141,0.001647210310085894,0.0036678925855283652,-0.000321739452193201,-0.0003087783842138536,0.0
contentviewhovernosubdbbeforesignup,-0.00201466032077962,-0.0011263513912130796,0.0012273115477086558,3.877046268950895e-05,0.00319945515411555,0.004019095820875414,0.0,0.0,0.02616302888262649,0.00048146776525728323,0.0762083989822062,0.042177739755697524,0.12350121802623731,0.06609543382808077,0.3148058283193331,0.25404686295876927,9.358113124854805e-05,9.358113124854805e-05,-6.402450236060796e-05,0.04459613017182394,0.0,-0.00017236589471594012,0.0008346905181325004,0.0009965397912860263,0.001552780057930598,0.0013137162932091411,0.0004749037192316692,0.006482807482040385,0.00217147455503636,0.00037689325697053003,-0.00011088433384998389,0.0019662788508705044,0.0018735510161304477,0.002057209457472203,0.0015398487104111578,0.0016244068574226254,0.011659422859686993,0.0107181513337923,0.012588335586755768,0.01049079792150001,0.002092290407538194,0.006755362766284823,0.007347440749415241,0.0017305376370616474,0.0042022959285139706,0.002894733244236127,0.006335014758278916,0.0031378048498122216,-0.00025865789896791766,0.0014308537135626768,0.0027081155293381125,-4.347317280799336e-05,0.00091916687247348,0.0010995344483515546,0.0013917796600601401,-0.00018004556329239332,-0.00017279254297018933,0.0
grosstreecountatsignup,-0.0001769993389693209,-6.462505214853809e-05,9.731608424459422e-07,8.29299079341066e-06,-9.441060226443247e-05,-0.00015072964556689744,0.0,0.0,0.000703350156700336,4.5308963857076544e-05,0.0009989970101320581,0.00015360810894716545,-2.191110199677125e-05,-2.2320310972923173e-05,0.00010657756903135378,9.358113124854805e-05,0.008050288605781821,0.008050288605781821,0.0006787936881530553,0.0009215479479925833,0.0,-1.468632839260741e-05,-0.00012089374260579865,-0.00018750515309175583,-0.00014580440043496384,-0.00017285051014808269,-0.00011282353244946398,4.442815750144478e-05,7.431908015681724e-05,0.00011103490113833506,-0.000162735237605529,-0.00015302450719006,-0.00013189915520211848,-8.757637024015034e-05,-8.393647359093215e-05,-0.00013906989160655038,-0.0001076838578840499,-4.268128220829309e-05,-6.128899193599458e-05,-3.133936523182403e-05,-3.1299819826573655e-06,8.99282165466655e-05,2.4830584524106524e-05,-3.0370871238446915e-05,2.2781592159734014e-06,-0.00015466969429826294,-3.85147684853233e-05,-0.00013093631055234933,-4.340464381379559e-05,-0.00013757011369035308,-0.00011554062110144101,-4.7139596809814856e-05,-0.0001136959876015008,-0.00013972423297057803,-9.043518372960603e-05,-1.534066975663467e-05,-1.4722680690609012e-05,0.0
nettreecountatsignup,-0.0001769993389693209,-6.462505214853809e-05,9.731608424459422e-07,8.29299079341066e-06,-9.441060226443247e-05,-0.00015072964556689744,0.0,0.0,0.000703350156700336,4.5308963857076544e-05,0.0009989970101320581,0.00015360810894716545,-2.191110199677125e-05,-2.2320310972923173e-05,0.00010657756903135378,9.358113124854805e-05,0.008050288605781821,0.008050288605781821,0.0006787936881530553,0.0009215479479925833,0.0,-1.468632839260741e-05,-0.00012089374260579865,-0.00018750515309175583,-0.00014580440043496384,-0.00017285051014808269,-0.00011282353244946398,4.442815750144478e-05,7.431908015681724e-05,0.00011103490113833506,-0.000162735237605529,-0.00015302450719006,-0.00013189915520211848,-8.757637024015034e-05,-8.393647359093215e-05,-0.00013906989160655038,-0.0001076838578840499,-4.268128220829309e-05,-6.128899193599458e-05,-3.133936523182403e-05,-3.1299819826573655e-06,8.99282165466655e-05,2.4830584524106524e-05,-3.0370871238446915e-05,2.2781592159734014e-06,-0.00015466969429826294,-3.85147684853233e-05,-0.00013093631055234933,-4.340464381379559e-05,-0.00013757011369035308,-0.00011554062110144101,-4.7139596809814856e-05,-0.0001136959876015008,-0.00013972423297057803,-9.043518372960603e-05,-1.534066975663467e-05,-1.4722680690609012e-05,0.0
netnodescountatsignup,-0.0003551946194181649,-0.00019258857984472388,-7.704501125965775e-05,-1.4808894586544924e-05,-0.00040961548326823007,-0.000459732284159641,0.0,0.0,-9.819099563295314e-05,-3.4286603229931124e-06,0.00010095794588286882,-3.78117936415372e-05,-0.00010687207176989258,-4.479143485782635e-05,-0.00014807494531824796,-6.402450236060796e-05,0.0006787936881530553,0.0006787936881530553,0.9789615015119306,0.24558116681877853,0.0,-2.9471888733813426e-05,0.0234852540128192,-0.00037627723289359303,-0.0003240448756326715,-0.0003783198390434594,0.0010584185255700508,0.006012411202137253,0.007388673834670742,0.007462353556505274,-0.00042092276731213853,-0.0004015415887573714,-0.0003749265485239245,-0.00038022833468853983,-0.0003730298428133352,-0.0003107421451768405,-0.0004048007687721094,-0.00025878979885998396,-0.0003745993778419156,-0.00022035682304516712,-0.0002264374817568274,-0.00022850366777567107,-0.00045338561505112054,-0.00023461527506535122,-0.00026323755164519896,-0.0003576137666007108,-0.0002030934114726156,-0.0002942082358006732,-8.710256224795548e-05,-0.0004333243046506249,-0.0003107539351113327,-0.0001574995241987704,-0.0002754953991571246,-0.00037474527828119383,-0.00024438323578781157,-3.078499268730076e-05,-2.9544838953451452e-05,0.0
totalpendinghintscountatsignup,-0.0027091618860238496,-0.001354532309532166,0.007655462612832909,0.00017435225305336137,0.0033828915516911015,0.0024986442545553325,0.0,0.0,0.003048640277147255,0.00030896161944567196,0.06091513655214382,0.022582248193043972,0.008443290351992417,0.0070703527266078444,0.060699630795892946,0.04459613017182394,0.0009215479479925833,0.0009215479479925833,0.24558116681877853,0.7225182685415598,0.0,0.007152097500502442,0.008749974794716562,0.0015528370426139612,0.0004844584786388157,0.0008575715878644685,0.010251394213667444,0.004822384585372781,0.005544168304643501,0.004120057205489181,0.006054423405563434,0.0030143008648357613,0.0032383707803734646,0.003259793091336264,0.0016909428614525774,0.00228783408533736,0.0003457270564014798,0.007821725742710024,0.00252639554972495,0.008231997041084054,-0.0010970654395710698,0.008145322600832205,0.012407309002664627,0.004806475542524402,0.007654452362821526,0.006160468216930163,0.005556963085421855,0.008005639878255902,0.0003434761614090118,0.002461188615184762,0.0029075400605725614,0.00048540535775229703,0.0013781296177841976,0.0019606604558402127,0.00011023343121685832,-0.0003217394521932017,-0.0003087783842138536,0.0
createtreein2hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
